Symbol,Series,Date,Prev Close,Close Price,,,,
DABUR,EQ,17-01-2020,487.6,489.65,,,,
DABUR,EQ,20-01-2020,489.65,486.05,,,,
DABUR,EQ,21-01-2020,486.05,487,,,,
DABUR,EQ,22-01-2020,487,486.8,,,,
DABUR,EQ,23-01-2020,486.8,489.8,,,,
DABUR,EQ,24-01-2020,489.8,500.5,,,,
DABUR,EQ,27-01-2020,500.5,493.2,,,,
DABUR,EQ,28-01-2020,493.2,488.4,,,,
DABUR,EQ,29-01-2020,488.4,491.6,,,,
DABUR,EQ,30-01-2020,491.6,478.75,,,,
DABUR,EQ,31-01-2020,478.75,495.75,,,,
DABUR,EQ,01-02-2020,495.75,486.4,,,,
DABUR,EQ,03-02-2020,486.4,497,,,,
DABUR,EQ,04-02-2020,497,503.35,,,,
DABUR,EQ,05-02-2020,503.35,511.15,,,,
DABUR,EQ,06-02-2020,511.15,509.65,,,,
DABUR,EQ,07-02-2020,509.65,513.65,,,,
DABUR,EQ,10-02-2020,513.65,512.85,,,,
DABUR,EQ,11-02-2020,512.85,508.9,,,,
DABUR,EQ,12-02-2020,508.9,519.9,,,,
DABUR,EQ,13-02-2020,519.9,512.7,,,,
DABUR,EQ,14-02-2020,512.7,506.1,,,,
DABUR,EQ,17-02-2020,506.1,500.95,,,,
DABUR,EQ,18-02-2020,500.95,504.55,,,,
DABUR,EQ,19-02-2020,504.55,508.05,,,,
DABUR,EQ,20-02-2020,508.05,506.15,,,,
DABUR,EQ,24-02-2020,506.15,501,,,,
DABUR,EQ,25-02-2020,501,500.25,,,,
DABUR,EQ,26-02-2020,500.25,501.95,,,,
DABUR,EQ,27-02-2020,501.95,506.35,,,,
DABUR,EQ,28-02-2020,506.35,496.1,,,,
DABUR,EQ,02-03-2020,496.1,499.25,,,,
DABUR,EQ,03-03-2020,499.25,506.6,,,,
DABUR,EQ,04-03-2020,506.6,514.4,,,,
DABUR,EQ,05-03-2020,514.4,517.95,,,,
DABUR,EQ,06-03-2020,517.95,500.55,,,,
DABUR,EQ,09-03-2020,500.55,483.15,,,,
DABUR,EQ,11-03-2020,483.15,488,,,,
DABUR,EQ,12-03-2020,488,455.25,,,,
DABUR,EQ,13-03-2020,455.25,450.6,,,,
DABUR,EQ,16-03-2020,450.6,431.5,,,,
DABUR,EQ,17-03-2020,431.5,430.4,,,,
DABUR,EQ,18-03-2020,430.4,414.55,,,,
DABUR,EQ,19-03-2020,414.55,418.85,,,,
DABUR,EQ,20-03-2020,418.85,444.35,,,,
DABUR,EQ,23-03-2020,444.35,396.05,,,,
DABUR,EQ,24-03-2020,396.05,401.2,,,,
DABUR,EQ,25-03-2020,401.2,405.2,,,,
DABUR,EQ,26-03-2020,405.2,425.95,,,,
DABUR,EQ,27-03-2020,425.95,423,,,,
DABUR,EQ,30-03-2020,423,427.55,,,,
DABUR,EQ,31-03-2020,427.55,450.05,,,,
DABUR,EQ,01-04-2020,450.05,434.85,,,,
DABUR,EQ,03-04-2020,434.85,427.8,,,,
DABUR,EQ,07-04-2020,427.8,477.55,,,,
DABUR,EQ,08-04-2020,477.55,488.3,,,,
DABUR,EQ,09-04-2020,488.3,485.35,,,,
DABUR,EQ,13-04-2020,485.35,479.8,,,,
DABUR,EQ,15-04-2020,479.8,502.85,,,,
DABUR,EQ,16-04-2020,502.85,503.5,,,,
DABUR,EQ,17-04-2020,503.5,490.1,,,,
DABUR,EQ,20-04-2020,490.1,492.85,,,,
DABUR,EQ,21-04-2020,492.85,498.2,,,,
DABUR,EQ,22-04-2020,498.2,502.7,,,,
DABUR,EQ,23-04-2020,502.7,499,,,,
DABUR,EQ,24-04-2020,499,499.05,,,,
DABUR,EQ,27-04-2020,499.05,491.75,,,,
DABUR,EQ,28-04-2020,491.75,487.55,,,,
DABUR,EQ,29-04-2020,487.55,478.25,,,,
DABUR,EQ,30-04-2020,478.25,489.3,,,,
DABUR,EQ,04-05-2020,489.3,468.75,,,,
DABUR,EQ,05-05-2020,468.75,452.5,,,,
DABUR,EQ,06-05-2020,452.5,455.7,,,,
DABUR,EQ,07-05-2020,455.7,441.9,,,,
DABUR,EQ,08-05-2020,441.9,446.8,,,,
DABUR,EQ,11-05-2020,446.8,446.55,,,,
DABUR,EQ,12-05-2020,446.55,443.15,,,,
DABUR,EQ,13-05-2020,443.15,444.05,,,,
DABUR,EQ,14-05-2020,444.05,458.6,,,,
DABUR,EQ,15-05-2020,458.6,443.9,,,,
DABUR,EQ,18-05-2020,443.9,436.1,,,,
DABUR,EQ,19-05-2020,436.1,437.1,,,,
DABUR,EQ,20-05-2020,437.1,439.65,,,,
DABUR,EQ,21-05-2020,439.65,440.15,,,,
DABUR,EQ,22-05-2020,440.15,431.7,,,,
DABUR,EQ,26-05-2020,431.7,433.1,,,,
DABUR,EQ,27-05-2020,433.1,428.95,,,,
DABUR,EQ,28-05-2020,428.95,448.4,,,,
DABUR,EQ,29-05-2020,448.4,466.45,,,,
DABUR,EQ,01-06-2020,466.45,469.25,,,,
DABUR,EQ,02-06-2020,469.25,460.85,,,,
DABUR,EQ,03-06-2020,460.85,463.35,,,,
DABUR,EQ,04-06-2020,463.35,462.55,,,,
DABUR,EQ,05-06-2020,462.55,462.85,,,,
DABUR,EQ,08-06-2020,462.85,458.1,,,,
DABUR,EQ,09-06-2020,458.1,466.55,,,,
DABUR,EQ,10-06-2020,466.55,461.9,,,,
DABUR,EQ,11-06-2020,461.9,450.1,,,,
DABUR,EQ,12-06-2020,450.1,455.65,,,,
DABUR,EQ,13-06-2020,455.65,453.65,,,,
DABUR,EQ,14-06-2020,453.65,448.5,,,,
DABUR,EQ,15-06-2020,448.5,440.5,,,,
DABUR,EQ,16-06-2020,440.5,440,,,,
DABUR,EQ,17-06-2020,440,443.05,,,,
DABUR,EQ,18-06-2020,443.05,443.5,,,,
DABUR,EQ,19-06-2020,443.5,458.6,,,,
DABUR,EQ,20-06-2020,458.6,455.05,,,,
DABUR,EQ,21-06-2020,455.05,459.15,,,,
DABUR,EQ,22-06-2020,459.15,460.35,,,,
DABUR,EQ,23-06-2020,460.35,463.75,,,,
DABUR,EQ,24-06-2020,463.75,465.95,,,,
DABUR,EQ,25-06-2020,465.95,466.6,,,,
DABUR,EQ,26-06-2020,466.6,465.05,,,,
DABUR,EQ,27-06-2020,465.05,467.05,,,,
DABUR,EQ,28-06-2020,467.05,465.95,,,,
DABUR,EQ,29-06-2020,465.95,478.55,,,,
DABUR,EQ,30-06-2020,478.55,473.25,,,,
DABUR,EQ,01-07-2020,473.25,473.05,,,,
DABUR,EQ,02-07-2020,473.05,474.15,,,,
DABUR,EQ,03-07-2020,474.15,484.5,,,,
DABUR,EQ,04-07-2020,484.5,479.45,,,,
DABUR,EQ,05-07-2020,479.45,479.65,,,,
DABUR,EQ,06-07-2020,479.65,487.65,,,,
DABUR,EQ,07-07-2020,487.65,490.75,,,,
